job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
IT Manager,Công Ty Cổ Phần A25 Hotel,Hanoi,2026-06-01,30000000.0,60000000.0,VND,Full-time,,5.0,,careerviet,False
Frontend Developer,Công Ty Cổ Phần Giải Pháp Cơ Điện MES,Other,2026-06-01,12000000.0,15000000.0,VND,Full-time,,,,careerviet,False
Other,Công ty Cổ phần Zodiac Clarity,Hanoi,2026-06-01,15000000.0,20000000.0,VND,Full-time,,2.0,,careerviet,False
IT Manager,CÔNG TY TNHH GALAXY DIGITAL HOLDINGS,Ho Chi Minh City,2026-06-01,,,,Full-time,,5.0,,careerviet,True
Data Engineer,Ngân Hàng TMCP Quốc Dân (NCB),Hanoi,2026-06-01,,,,Full-time,,5.0,,careerviet,True
UI/UX Designer,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,Ho Chi Minh City,2026-06-01,,,,Full-time,,5.0,,careerviet,True
IT Manager,AI Education,Ho Chi Minh City,2026-06-01,,,,Full-time,,2.0,,careerviet,True
Business Analyst,Ngân Hàng TMCP Quốc Dân (NCB),Hanoi,2026-06-01,,,,Full-time,,1.0,,careerviet,True
Security Engineer,Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (VCBS - Vietcombank Securities),Hanoi,2026-06-01,,,,Full-time,,2.0,,careerviet,True
Fullstack/Software Engineer,Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (VCBS - Vietcombank Securities),Hanoi,2026-06-01,,,,Full-time,,2.0,devops,careerviet,True
Database Administrator,Indovina Bank Ltd.,Ho Chi Minh City,2026-06-01,,,,Full-time,,3.0,"oracle, mysql, PostgreSQL",careerviet,True
System/Network Admin,Tổng công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội (HABECO - Bia Hà Nội),Hanoi,2026-05-31,15000000.0,25000000.0,VND,Full-time,,2.0,"sap, erp",careerviet,False
Cloud Engineer,"Un-Available LTD Co.,",Ho Chi Minh City,2026-05-31,,,,Full-time,,2.0,Azure,careerviet,True
IT Manager,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hanoi,2026-05-30,,,,Full-time,,1.0,,careerviet,True
Solution Architect,Công ty TNHH Viettel - CHT,Hanoi,2026-05-29,,,,Full-time,,5.0,,careerviet,True
Security Engineer,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hanoi,2026-05-29,,,,Full-time,,2.0,,careerviet,True
Project Manager,Tập đoàn ROX (ROX Group),Hanoi,2026-05-29,,,,Full-time,,2.0,,careerviet,True
System/Network Admin,CÔNG TY TNHH CÔNG NGHỆ HUAWEI VIỆT NAM,Hanoi,2026-05-28,,,,Full-time,,2.0,,careerviet,True
Business Analyst,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Hanoi,2026-05-28,,,,Full-time,,3.0,,careerviet,True
System/Network Admin,CHI NHÁNH CÔNG TY CỔ PHẦN CÔNG NGHIỆP NHỰA PHÚ LÂM,Other,2026-05-28,10000000.0,15000000.0,VND,Full-time,,,,careerviet,False
Other,Công Ty Cổ Phần Thời Trang & Mỹ Phẩm Duy Anh (DAFC),Ho Chi Minh City,2026-05-27,,,,Full-time,,2.0,,careerviet,True
QA/Tester,CÔNG TY CỔ PHẦN GIẢI PHÁP GENE - GENE SOLUTIONS,Ho Chi Minh City,2026-05-27,,,,Full-time,,1.0,,careerviet,True
IT Manager,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ MIỀN NAM,Ho Chi Minh City,2026-05-27,,,,Full-time,,3.0,,careerviet,True
Business Analyst,Tập đoàn ROX (ROX Group),Hanoi,2026-05-27,,,,Full-time,,3.0,,careerviet,True
Fullstack/Software Engineer,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Ho Chi Minh City,2026-05-27,,,,Full-time,,3.0,php,careerviet,True
Product Manager/Owner,Tập đoàn Giáo dục Đại Trường Phát,Ho Chi Minh City,2026-05-26,,,,Full-time,,3.0,,careerviet,True
Fullstack/Software Engineer,BellSystem24 Việt Nam,Hanoi,2026-05-26,14000000.0,17000000.0,VND,Full-time,,2.0,,careerviet,False
Project Manager,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hanoi,2026-05-26,,,,Full-time,,5.0,,careerviet,True
Other,Công ty Cổ phần Casla,Hanoi,2026-05-26,,,,Full-time,,3.0,,careerviet,True
Data Analyst,Chương trình Học viện Công nghệ BKACAD,Hanoi,2026-05-26,25000000.0,35000000.0,VND,Full-time,,2.0,,careerviet,False
System/Network Admin,"DP Systems Electronic Mechanical Technology Vietnam Co., Ltd",Other,2026-05-26,,,,Full-time,,2.0,,careerviet,True
System/Network Admin,FE CREDIT,Ho Chi Minh City,2026-05-25,,,,Full-time,,1.0,,careerviet,True
Project Manager,Ngân Hàng TMCP Quốc Dân (NCB),Hanoi,2026-05-25,,,,Full-time,,7.0,,careerviet,True
Security Engineer,Công Ty Cổ Phần Vacxin Việt Nam,Ho Chi Minh City,2026-05-25,,,,Full-time,,2.0,,careerviet,True
System/Network Admin,CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ VÀ THƯƠNG MẠI QUỐC AN,Hanoi,2026-05-25,18000000.0,25000000.0,VND,Full-time,,3.0,,careerviet,False
Other,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hanoi,2026-05-25,,,,Full-time,,2.0,,careerviet,True
Sales/Presales,CÔNG TY CP CÔNG NGHỆ QI,Ho Chi Minh City,2026-05-25,20000000.0,30000000.0,VND,Full-time,,3.0,,careerviet,False
System/Network Admin,NGÂN HÀNG TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN VIỆT NAM HIỆN ĐẠI,Hanoi,2026-05-23,,,,Full-time,,3.0,,careerviet,True
Data Analyst,"Rochdale Spears Co., Ltd.",Other,2026-05-23,,,,Full-time,,3.0,,careerviet,True
UI/UX Designer,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hanoi,2026-05-22,,,,Full-time,,3.0,,careerviet,True
Product Manager/Owner,Ngân Hàng TMCP Tiên Phong (TPBank),Hanoi,2026-05-20,18000000.0,40000000.0,VND,Full-time,,1.0,"php, JavaScript, Jquery",careerviet,False
AI/ML Engineer,Ngân Hàng TMCP Tiên Phong (TPBank),Hanoi,2026-05-19,10000000.0,15000000.0,VND,Full-time,,2.0,,careerviet,False
AI/ML Engineer,CÔNG TY TNHH CÔNG NGHỆ HAIPER-X,Ho Chi Minh City,2026-05-19,35000000.0,70000000.0,VND,Full-time,,3.0,,careerviet,False
System/Network Admin,Công ty Cổ phần Viễn thông - Tin học Bưu điện,Hanoi,2026-05-17,,35000000.0,VND,Full-time,,1.0,,careerviet,False
Data Engineer,Tập đoàn ROX (ROX Group),Hanoi,2026-05-17,30000000.0,50000000.0,VND,Full-time,,4.0,,careerviet,False
Sales/Presales,Công ty Cổ phần IPOS.vn,Hanoi,2026-05-15,15000000.0,30000000.0,VND,Full-time,,,,careerviet,False
System/Network Admin,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hanoi,2026-05-14,,,,Full-time,,3.0,,careerviet,True
Fullstack/Software Engineer,CÔNG TY TNHH SORIMACHI VIỆT NAM,Hanoi,2026-05-13,,,,Full-time,,2.0,,careerviet,True
Other,CÔNG TY CỔ PHẦN CÔNG NGHỆ DOCCEN,Hanoi,2026-05-12,,,,Full-time,,,,careerviet,True
Fullstack/Software Engineer,Công Ty Cổ Phần Xây Dựng CDC,Hanoi,2026-05-10,,,,Full-time,,2.0,,careerviet,True
Fullstack/Software Engineer,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,Hanoi,,,,,Full-time,,1.0,,careerviet,True
AI/ML Engineer,CÔNG TY TNHH ALCHERA VIỆT NAM,Ho Chi Minh City,2026-05-04,6800000.0,10000000.0,VND,Full-time,,,,careerviet,False
Data Analyst,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,Hanoi,2026-05-03,,,,Full-time,,,,careerviet,True
Consultant,QTSC - CÔNG TY TNHH MTV PHÁT TRIỂN CÔNG VIÊN PHẦN MỀM QUANG TRUNG,Ho Chi Minh City,2026-06-01,,,,Full-time,,,,careerviet,True
Backend Developer,"HD SAISON Finance Co., Ltd",Ho Chi Minh City,2026-06-01,,,,Full-time,,4.0,,careerviet,True
IT Manager,CareerViet,Ho Chi Minh City,2026-06-01,,,,Full-time,,7.0,,careerviet,True
IT Manager,Công ty Cổ phần Dược phẩm Cửu Long,Ho Chi Minh City,2026-06-01,,,,Full-time,,5.0,,careerviet,True
AI/ML Engineer,CareerViet,Ho Chi Minh City,2026-06-01,,,,Full-time,,1.0,,careerviet,True
System/Network Admin,CareerViet,Ho Chi Minh City,2026-06-01,,,,Full-time,,3.0,,careerviet,True
ERP/CRM Specialist,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,Hanoi,2026-06-01,,,,Full-time,,,SAP,careerviet,True
Solution Architect,CÔNG TY TNHH APVN SEALING,Ho Chi Minh City,2026-05-31,,,,Full-time,,5.0,,careerviet,True
Security Engineer,Công ty CP Giáo dục Quốc tế Việt Úc,Ho Chi Minh City,2026-05-30,,,,Full-time,,,,careerviet,True
Backend Developer,Công Ty Cổ Phần Tập Đoàn Trường Hải,Ho Chi Minh City,2026-05-30,,,,Full-time,,2.0,,careerviet,True
AI/ML Engineer,CÔNG TY TNHH TƯ VẤN GANESHAID,Hanoi,2026-05-29,,,,Full-time,,3.0,AI,careerviet,True
Business Analyst,Công ty Cổ phần CANIFA,Hanoi,2026-05-29,15000000.0,23000000.0,VND,Full-time,,1.0,,careerviet,False
ERP/CRM Specialist,Công ty Cổ phần CANIFA,Hanoi,2026-05-29,10000000.0,16000000.0,VND,Full-time,,1.0,ERP,careerviet,False
Data Analyst,Công ty Cổ phần CANIFA,Hanoi,2026-05-29,15000000.0,25000000.0,VND,Full-time,,2.0,,careerviet,False
AI/ML Engineer,Công ty Cổ phần CANIFA,Hanoi,2026-05-29,16000000.0,35000000.0,VND,Full-time,,1.0,,careerviet,False
DevOps/Infra Engineer,Concung.com - Con Cung Joint Stock Company,Ho Chi Minh City,2026-05-29,,,,Full-time,,2.0,,careerviet,True
Other,CHI NHÁNH CÔNG TY CỔ PHẦN CÔNG NGHIỆP NHỰA PHÚ LÂM,Other,2026-05-29,10000000.0,15000000.0,VND,Full-time,,,,careerviet,False
Data Analyst,Concung.com - Con Cung Joint Stock Company,Ho Chi Minh City,2026-05-28,,,,Full-time,,3.0,BI,careerviet,True
