job_title,company_name,company_size,location,salary_min,salary_max,salary_currency,experience_required,skills,job_type,job_level,posted_date,deadline,job_description,benefits,source
[HCM] IT SUPPORT,CMC Technology & Solution (CMC TS),,"Tân Thuan Đông, Ho Chi Minh City, Vietnam",,,,1.0,"['Windows Server', 'Active Directory']",Full-time,Not Applicable,2026-05-31,,"Job Description
Provide troubleshooting and technical support for end-user devices and related hardware.
Administer and maintain the company’s Mail Server, Windows Server, and File Server systems.
Support the configuration, operation, and maintenance of the Domain Controller.
Diagnose and resolve issues related to Microsoft Office 365 applications.
Participate in on-site support and training sessions at client locations when required.
Location: Cu Chi, HCMC
Job Requirements
College or Bachelor’s degree in Information Technology or a related field.
Minimum 1 years of experience in a similar position.
Hands-on experience with Active Directory, Office 365, and ticketing systems.
CCNA, MCSA, or equivalent certifications are an advantage.
Solid foundation and working experience in IT Systems.
Good communication skills in English.
Compensation & Benefits
Competitive salary package with IT allowance.
Annual cash benefit package of VND 9,000,000 for holidays and special occasions.
12 days of annual leave plus 1 additional paid leave day for your birthday.
Full statutory insurance coverage in accordance with Vietnamese labor law.
Premium healthcare insurance package (CMC Care).
Opportunities to join company clubs and various employee engagement programs.
Laptop and necessary technical equipment provided.
Young, dynamic, and professional working environment.
Nộp đơn ứng tuyển công việc này
Họ & tên bạn *
Địa chỉ email *
Số điện thoại *
Thông tin thêm
CV của bạn *
Click để chọn & tải lên CV của bạn
Mã bảo mật *
Nộp đơn ứng tuyển","Competitive salary package with IT allowance.
Annual cash benefit package of VND 9,000,000 for holidays and special occasions.
12 days of annual leave plus 1 additional paid leave day for your birthday.
Full statutory insurance coverage in accordance with Vietnamese labor law.
Premium healthcare insurance package (CMC Care).
Opportunities to join company clubs and various employee engagement programs.
Laptop and necessary technical equipment provided.
Young, dynamic, and professional working environment.
Nộp đơn ứng tuyển công việc này
Họ & tên bạn *
Địa chỉ email *
Số điện thoại *
Thông tin thêm
CV của bạn *
Click để chọn & tải lên CV của bạn
Mã bảo mật *
Nộp đơn ứng tuyển",linkedin
Chief Technology Officer,Olik Global,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,15.0,"['Scala', 'CI/CD', 'Agile', 'AI', 'Excel', 'API', 'Security', 'Cybersecurity']",Full-time,Not Applicable,2026-06-14,,"CHIEF TECHNOLOGY OFFICER (CTO)
Location
Ho Chi Minh City, Vietnam
1 - POSITION PURPOSE
The Chief Technology Officer (CTO) is responsible for leading the Bank's enterprise-wide technology transformation agenda, ensuring technology capabilities enable strategic growth, digital innovation, operational scalability, and long-term resilience.
The role will drive modernization across:
Enterprise Architecture
Core Banking Platforms
Data & AI Capabilities
Digital Platforms
Engineering Practices
Cloud & Infrastructure Foundations
The CTO serves as a key strategic partner to the Executive Committee in shaping the future technology landscape of the Bank through modern architecture, agile delivery models, engineering excellence, and technology governance.
2 - Key Responsibilities
Enterprise Technology Transformation Leadership
Lead and oversee the Bank's enterprise-wide technology transformation initiatives
Establish aligned technology standards, engineering governance, and architectural principles across all strategic programs and delivery domains
Ensure all transformation initiatives align with the Bank's target-state technology architecture and strategic roadmap
Coordinate cross-functional technology dependencies, risk mitigation, and delivery alignment across squads, tribes, and technology workstreams
Serve as the enterprise technology leader for strategic business initiatives and major transformation programs
Enterprise Architecture & Core Modernization
Lead the transformation of the Enterprise Architecture (EA) framework toward a scalable, agile, and future-ready target architecture
Drive Core Banking modernization and simplification initiatives
Define and manage:
target architecture,
platform integration strategy,
product taxonomy,
transition roadmap from legacy to modern platforms
Establish architecture governance and quality assurance mechanisms across all major technology initiatives
Ensure interoperability across core systems, digital platforms, APIs, and data ecosystems
Engineering Excellence & Technology Delivery
Build and institutionalize modern engineering practices across the organization
Drive adoption of:
Agile methodologies,
DevSecOps,
automation,
CI/CD,
AI-enabled software engineering practices
Establish technology playbooks, engineering standards, and delivery governance models
Promote a high-performance engineering culture focused on:
scalability,
quality,
security,
speed-to-market,
continuous improvement
Data, AI & Digital Platform Transformation
Lead transformation of the Bank's enterprise data platform to enable:
advanced analytics,
AI capabilities,
real-time decisioning,
data accessibility and governance
Ensure modern data architecture, platform scalability, and enterprise-wide data governance
Oversee the technology architecture and engineering direction for digital engagement platforms and customer-facing ecosystems
Drive innovation through emerging technologies and AI-enabled capabilities
Cloud, Infrastructure & Technology Foundations
Define and lead the enterprise cloud transformation strategy
Establish scalable and secure cloud architecture, landing zones, and operational readiness frameworks
Standardize API architecture and integration governance across the Bank
Strengthen technology resilience through:
Business Continuity Planning (BCP),
Disaster Recovery (DR),
cybersecurity governance,
infrastructure modernization
Ensure technology ecosystems are secure, resilient, scalable, and future-ready
Technology Risk & Governance
Maintain strong governance and risk oversight across all transformation initiatives
Establish enterprise technology risk management frameworks and remediation plans
Ensure compliance with:
regulatory requirements,
information security standards,
enterprise risk policies,
architecture governance principles
Monitor technology health, operational risks, and transformation execution quality
Talent & Leadership
Build and lead high-performing technology organizations and engineering teams
Develop technology talent strategies including:
workforce planning,
capability development,
succession planning,
hiring and upskilling
Foster a culture of innovation, collaboration, accountability, and continuous learning
Coach and develop future technology leaders across the organization
3 - SUCCESS MEASURES
Strategic Impact
Technology strategy aligned with business transformation objectives
Enterprise architecture adoption across strategic initiatives
Successful modernization of core technology platforms
Delivery Excellence
Improved technology delivery speed, scalability, and reliability
Successful implementation of Agile and DevSecOps practices
Increased engineering productivity and automation maturity
Risk & Resilience
Strong technology risk posture across the enterprise
Robust cybersecurity, resilience, and operational continuity capabilities
Cloud and infrastructure platforms operating securely and effectively
Organizational Capability
Strong engineering culture and leadership pipeline
Increased digital and technology capability across teams
Sustainable modernization and transformation execution capability
4 - Required Qualifications & Experience
Education
Bachelor's degree in:
Computer Science,
Information Technology,
Software Engineering,
or related disciplines
Master's degree or MBA preferred
Experience
15+ years of progressive technology leadership experience
Minimum 7 years in senior technology leadership roles such as:
CTO,
Head of Technology,
Engineering Director,
Enterprise Architecture Leader,
or equivalent
Proven experience in:
enterprise technology transformation,
core banking modernization,
cloud transformation,
large-scale digital programs,
engineering transformation,
Agile at scale environments
Strong background in banking, financial services, or large enterprise ecosystems preferred
5 - CORE COMPETENCIES
Strategic Technology Leadership
Ability to align technology strategy with enterprise business objectives
Enterprise Architecture & Systems Thinking
Strong understanding of scalable enterprise architectures and modern technology ecosystems
Engineering & Delivery Excellence
Expertise in Agile, DevSecOps, modern SDLC, and engineering governance
Data & Digital Fluency
Strong knowledge of:
cloud platforms,
AI,
APIs,
data platforms,
digital ecosystems,
cybersecurity
Change & Transformation Leadership
Proven capability to lead large-scale organizational and technology transformation
Stakeholder Management
Strong executive communication and cross-functional influencing capability
Risk & Governance
Strong understanding of technology risk management, operational resilience, and regulatory compliance
6 - LEADERSHIP ATTRIBUTES
Strategic and forward-thinking
Calm under pressure
Execution-oriented
Innovation-driven
Highly collaborative
Strong systems thinker
Data-driven decision maker
Passionate about technology excellence and organizational capability building",,linkedin
Junior Quality Assurance,Getz Group,,Vietnam,,,,,"['REST', 'iOS']",Full-time,Not Applicable,2026-02-21,,"JUNIOR QUALITY ASSURANCE
Key Responsibilities
Be responsible for the testing process of all projects.
Analyze the customer requirements, conditions, detailed software functions and design to indicate the requirements for the test plan.
Ensure compliance with established processes.
Design and develop test scenarios and test cases.
Review project documentation as a basis for testing documentation and product understanding.
Review testing documentation, implementation process and testing coverage.
Constantly strive to improve testing methodologies, models and processes.
Log all the bugs and make test reports.
Analyze the changes of request and update the test material (test plan, test cases, etc.).
Requirements
Bachelor or Master Degree in IT, or equivalent experience is required. Any other demonstrated high technology aptitude is desired.
At least 1+ years of software platform development test experience, experience in iOS/Web Application test is a big plus.
Intermediate English communication skills, both written and verbal.
Analytical abilities to grasp the key points from complicated details.
Understanding of software quality assurance methodologies.
Familiarity with the tools, concepts and methodologies of quality management.
Multi-task effectively and able to adhere to schedules.
Good at analytical skills and recognizing problems.
Be responsible.
OUTSTANDING BENEFIT PROGRAMS
Highly Competitive salary
SHUI pay based on full salary
Premium Healthcare Package for Staff and Family Members
Diverse Holidays & Special Events Bonuses & incentives
Family Financial Support - Education for up to 2 kids
Lunch Allowance
Well-stocked pantry with free coffee, tea, and snacks
Internal activities with many experiences: team building, internal events,....
Professional Training and Development Budget
Global Exposure and Traveling Opportunities:
○ Sponsored Trip to Singapore to broaden your horizon and training opportunities
○ Annual company-wide Overseas Rest & Relax Trip
Laptop/Other work support device
WORKING TIME
From
Monday - Friday | 8:00 - 17:30
(1h30 lunch break), flexible to work from home every Friday
WORK LOCATION
8th floor, Vietnam Post Building, 271 Nguyen Van Linh, Thanh Khe Ward, Danang, Vietnam
CONTACT
Application requirement: please send your CV to email
recruit@getz.co
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact,
join us now!
Apply
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact, join us now!
Apply
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact, join us now!
Apply",,linkedin
infrastructure (it admin),Xspera,,Vietnam,,,,5.0,"['Python', 'Perl', 'Azure', 'SQL', 'Excel', 'ITIL', 'Active Directory', 'Firewall', 'Security']",Full-time,Not Applicable,2025-09-24,,"Job Description
Working for xspera, feels like coming home
xspera, a globally operating management consultancy, seek to increase corporate
performance
through
digital transformation
. Xingate, xspera’s digital enterprise platform developed on Microsoft’s technology and collaboration stacks, deliver powerful intra, inter, and cross-departmental solutions for immediate results at affordable costs.
xspera is seeking passionate
Infrastructure (IT Administrator)
who will maintain, upgrade, and manage our software, hardware, and networks.
Resourcefulness is a necessary skill in this role. You should be able to diagnose and resolve problems quickly. You should also have the patience to communicate with a variety of interdisciplinary teams and users.
Your goal will be to ensure that our technology infrastructure runs smoothly and efficiently.
General
Key responsibilities
SharePoint Installation & Configuration
Manage system security, system patching and upgrades
Install and configure software and hardware
Manage network servers and technology tools
Set up accounts and workstations
Monitor performance and maintain systems according to requirements
Troubleshoot issues and outages
Ensure security through access controls, backups and firewalls
Upgrade systems with new releases and models
Develop expertise to train staff on new technologies
Build an internal wiki with technical documentation, manuals and IT policies
Specific
Monitor and manage Network and Office Equipment.
Support developers and office users to solve ad-hoc technical issues & problem
Design and implement Network Topology On-premise and Azure cloud environment
Design, implement and upgrade System: Active Directory, Office 365, Exchange 2010-2013-2016, Skype for Business 2015, SharePoint 2010-2019, SQL 2012-2019, On- premise, Hybrid, and Azure environment, MS SQL BI, and K2
Design and implement SharePoint system topology On-premise, Hybrid, and Azure Cloud
Propose technical solution, do estimates & detail plan for integration in internal & external environment.
Apply MS Intune, PowerShell and ITIL service management.
Requirements
Q
ualifications
Bachelor/Master Degree in Information Technology, computer science, management information systems, or related field required
English certificate of TOEIC 650+ or equivalent
Ex
perience and skill
5+ year experience SharePoint Installation & Configuration including MinRole Farm
Proven experience with configuration of load-balancing and High Availability Infrastructure
Proven experience as a System Administrator, Network Administrator or similar role
Proven experience and knowledge of system security (e.g. intrusion detection systems) and data backup/recovery
Experience with databases, networks (LAN, WAN) and patch management
Ability to create scripts in Python, Perl or other language
Familiarity with various operating systems and platforms
Resourcefulness and problem-solving aptitude
Experience in working in an international environment
Excellent communication skills
Professional certification (e.g. MCSA Microsoft Certified Systems Administrator, MCSE Server Infrastructure, ITIL V4, etc.) is a plus
W
hy Work at xspera
Above market salary compensation, including 13-month pay
Quarterly and yearly performance bonus compensation
Annual performance reviews
Personal development, training, and creative freedom
Ability to participate in customer projects in EU, US & Asia
Work in a global team with highly skilled and motivated people
Spectacular company trips
About Xspera
As a management consulting company, xspera focus on the business goals of our customers. We deliver solutions which help customers achieve their business goals faster. Our enterprise platform, xingate, adapts quickly to our client’s corporate structures reducing their process costs in many areas by as much as 30% -60% through greater transparency, digitization, and process automation. Join xspera today and be part of the digital world of tomorrow",,linkedin
Nhân viên IT Quảng Trị Mạng,Công Ty CP Thiết Kế - Xây Dựng Kiến Trúc Việt,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,,[],Full-time,Not Applicable,2026-04-22,,"Mô tả công việc
Mô tả chi tiết công việc
Phụ Trách Toàn Bộ Các Hoạt Động Liên Quan Đến Hệ Thống Mạng, Các Trang Thiết Bị Điện Tử, Nghe Nhìn Trang Bị Tại Công Ty Và Cửa Hàng
Đảm bảo hoạt động của hệ thống mạng LAN, Internet, hệ thống máy chủ được thông suốt, ổn định.
Khắc phục các sự cố máy chủ, máy trạm, máy in … và hỗ trợ kịp thời cho người dùng các vấn đề về IT.
Là đầu mối giải quyết sự cố, trực tiếp bảo trì sửa chữa đơn giản cho các trang thiết bị điện tử, nghe nhìn được trang bị tại công ty và cửa hàng.
Thực hiện các công tác bảo trì bảo dưỡng theo định kỳ
Khảo sát và đề xuất mua tài sản khi có phát sinh
Thừa kế và phát triển thêm các qui chuẩn, qui định về vận hành, cấu hình, bảo trì bảo dưỡng, bảo mật thông tin…
Các công tác khác theo chỉ đạo của cấp trên
Chi tiết trao đổi khi phỏng vấn.
Cao đẳng",,linkedin
IT System Admin,"SOTATEK., JSC",,"Quận Cầu Giấy, Hanoi, Vietnam",,,,3.0,"['SQL', 'MySQL', 'Linux', 'Windows Server', 'REST', 'iOS', 'Android', 'Active Directory', 'VMware', 'Networking', 'Firewall', 'Security']",Internship,Mid-Senior level,2026-06-19,,"Job Description
The job holder shall be responsible for IT support (Hardware & Software); IT system management and equipment management, details include but not limited to the below:
Daily follow up IT Helpdesk operation, administrate and maintain PCs, laptops, printers, fingerprint machine, cameras, other IT devices.
Install operating systems & softwares, troubleshoot and resolve PCs, laptops, printers, IT devices related problems.
Explain and support staff for technical problems in the company.
Manage networks servers and technology tools, set up accounts and workstations.
Ensure security through access controls, backup and firewalls.
Build and develop documentation in compliance with company’s and ISO’s requirements (checklists, procedures, internal audits, training purposes,...), especially related to information security.
Propose, purchase and manage licenses, software, equipment and accessories.
Support in preparation of company events like summer trip, year-end party, women’s day,...
Job Requirements
Must have:
Minimum 3 years as a System Administrator.
OS & Core Services: Proficient in Windows Server & Linux; 3+ years operating Active Directory (Production). Familiar with macOS, iOS, Android, DFS, Mail, and Databases (SQL/MySQL).
Networking & Security: Administering Fortinet Firewall; Setup & customization of Squid Proxy; Good understanding of VLANs, routers, switches.
Monitoring & Infrastructure: Setup & customization of ELK Stack (Grafana, Prometheus, Graylog is a plus); Investigating/analyzing EventID & system logs; Managing VMware and NAS storage (Backup/Restore).
Soft Skills: High pressure tolerance; Clear and concise communication; Ability to work independently.
Nice To Have
Bachelor degree or higher, majoring in IT engineering or related majors.
Certification in IT Helpdesk Professional, MCSA, CCNA is preferred
Have strong verbal and written communication, customer service skills, and are able to multitask in a fast-paced work environment.
Good at written and verbal communication in English.
Compensation & Benefits
🎯Flexible working regime and health care:
Flexible timekeeping (from 8:00 - 9:00 to 17:30 - 18:30)
Minimum 14 paid leaves per annum for all employees after probation
01-day remote work per month
A flexitime allowance of 90-180 minutes per month for employees
01 hour paid leave per day for women having children under 12 months
Social insurance, health insurance, unemployment insurance and Bao Viet care insurance
🎯Transparent And Fair Benefits
Saturday & Sunday OFF, Overtime pay is 150%, 200%, 300% as per labor law;
Work performance review 2 times/ year (in April and October)
Bonus Policy: 13th-month salary and Performance-based bonus
Men’s Day, Women’s Day, Children’s Day, Mid-Autumn Festival and other benefits under the provisions of the company
🎯Dynamic Environment And Open Culture
Year-end party, sports day, yearly company trip and quarterly team building,...with a generous budget
Socialize with colleagues through monthly Happy Hour
Monthly allowance when joining clubs: Soccer, Swimming, Yoga, Music,...
Nice & modern working space with young, dynamic & friendly colleagues and free coffee, tea, drinks,...
Flat, open and sharing culture with friendly management team; outsourcing company with product mindset
🎯Strong Learning Culture
Free training courses for technical and soft skills (presentation skills, communication skills, foreign language courses,...)
Account to log in to our online learning system, which contains thousands of valuable lectures (LMS)
Participate in workshops, seminars, tech talk,... with sharing from experts inside and outside the company
Working opportunities with technical gurus who built and operated world-class applications with millions of users.","🎯Flexible working regime and health care:
Flexible timekeeping (from 8:00 - 9:00 to 17:30 - 18:30)
Minimum 14 paid leaves per annum for all employees after probation
01-day remote work per month
A flexitime allowance of 90-180 minutes per month for employees
01 hour paid leave per day for women having children under 12 months
Social insurance, health insurance, unemployment insurance and Bao Viet care insurance
🎯Transparent And Fair Benefits
Saturday & Sunday OFF, Overtime pay is 150%, 200%, 300% as per labor law;
Work performance review 2 times/ year (in April and October)
Bonus Policy: 13th-month salary and Performance-based bonus
Men’s Day, Women’s Day, Children’s Day, Mid-Autumn Festival and other benefits under the provisions of the company
🎯Dynamic Environment And Open Culture
Year-end party, sports day, yearly company trip and quarterly team building,...with a generous budget
Socialize with colleagues through monthly Happy Hour
Monthly allowance when joining clubs: Soccer, Swimm...",linkedin
IT Helpdesk/ IT Support,UNIT Technology Corporation,,"Quận 1, Ho Chi Minh City, Vietnam",,,,4.0,"['Windows Server', 'Adobe', 'Active Directory', 'Networking', 'Firewall']",Full-time,Mid-Senior level,2026-06-07,,"Handle and track user requests, ensuring timely and effective resolution
Provide support to end-users and troubleshoot hardware, software, and network issues
Install, configure, and maintain IT equipment (PCs, printers, scanners, fax)
Support office applications: MS Office, Outlook, Adobe Acrobat
Perform basic administration of Windows OS, Windows Server, and Active Directory
Monitor IT systems and network infrastructure to ensure stable operations
Perform data backup, system updates, and regular virus scanning
Coordinate with external vendors and service providers to meet SLA requirements
Support daily IT operations tasks (monitoring, reporting, incident handling)
Requirements
Bachelor’s degree in Information Technology, Network Administration, Telecommunications, or related fields
At least 4 years of experience in IT Helpdesk / IT Support/ IT Service Desk
Good knowledge of Windows, networking (LAN/WAN, DNS, DHCP), Active Directory, Firewall/NAT
Strong communication skills with a customer-oriented mindset
Experience supporting clients in insurance/financial domain is a plus
Good command of English (communication and documentation)
Flexible, dynamic attitude and reliable.",,linkedin
Tuyển dụng nhân viên IT,Công ty cổ phần Expro,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,,[],Full-time,Not Applicable,2026-03-23,,"Mô tả công việc
Nhân viên IT
Cài đặt, vận hành, xử lý các sự cố phát sinh
Quản trị máy chủ, hệ thống máy tính, hệ thống mạng
Tốt nghiệp chuyên ngành liên quan
Kinh nghiệm 1-2 năm ở vị trí tương đương
Trung cấp",,linkedin
IT Helpdesk,SUNJIN VIỆT NAM,,"Can Tho, Can Tho, Vietnam",,,,,['Windows Server'],Full-time,Not Applicable,2025-09-24,,"Số lượng: 1 người
Kinh nghiệm: 1 - 2 năm
Bằng cấp: Trung cấp trở lên
Cấp bậc: Nhân viên
Nơi làm việc: Đồng Nai
Thu nhập/ tháng: 10 - 15 Triệu
MÔ TẢ CÔNG VIỆC
Vị trí IT Help Desk đóng vai trò quan trọng trong việc hỗ trợ kỹ thuật cho người dùng cuối, bảo đảm hệ thống thông tin của tổ chức hoạt động ổn định và hiệu quả. Cụ thể, người giữ vị trí này sẽ chịu trách nhiệm giải quyết các vấn đề kỹ thuật, từ đơn giản đến phức tạp, qua điện thoại hoặc trực tiếp. Họ cũng sẽ cung cấp hướng dẫn và tư vấn cho người dùng về cách sử dụng các ứng dụng và phần mềm hiệu quả. Bên cạnh đó, IT Help Desk còn theo dõi và ghi chép các sự cố kỹ thuật để phân tích và cải thiện chất lượng hệ thống thông tin.
Xác định, chẩn đoán, giải quyết vấn đề của người sử dụng máy tính cá nhân, phần mềm máy tính và phần cứng, mạng, internet, e-mail, dial-in, các vấn đề truy cập mạng; và các vấn đề máy in, photo copy, điện thoại, camera…
Cung cấp hỗ trợ cài đặt, cấu hình cho người dùng các phần cứng máy tính để bàn, phần mềm, và thiết bị ngoại vi.
Vận hành và duy trì hệ thống server, mạng LAN, WAN, camera…
Sửa chữa đúng hạn các thiết bị hoặc bảo hành, bảo trì từ nhà cung cấp bên thứ ba theo thỏa thuận hợp đồng.
Chịu trách nhiệm bảo trì, sửa chữa các thiết bị máy tính, mạng toàn công ty. Thực hiện sửa chữa phần cứng máy tính, các thiết bị máy tính PC và các thiết bị ngoại vi không được thỏa thuận bảo dưỡng của bên thứ ba nhà cung cấp.
Giúp cài đặt mạng nội bộ, hệ thống cáp và các thiết bị như card mạng, hub và switch.
Hỗ trợ, hướng dẫn người dùng xử lý các vấn đề liên quan đến IT. Phối hợp với các kỹ thuật viên khác trong việc tạo ra tài liệu liệu hướng dẫn cho người dùng cuối câu hỏi thường gặp (FAQs).
Kiểm kê, quản lý tài sản cố định & Các công việc khác theo yêu cầu của cấp trên.
Yêu Cầu Công Việc
Có kinh nghiệm ít nhất 1 năm, tốt nghiệp trung cấp, cao đẳng công nghệ thông tin trở lên
Có kiến thức windows server, hệ thống camera, Database
Có kiến thức chuyên môn cơ bản về các hệ thống máy chủ, các hệ điều hành
Có kiến thức về hệ thống mạng LAN/WAN, cấu hình các thiết bị mạng
Có khả năng làm việc độc lập hoặc làm việc theo nhóm tốt, luôn chủ động trong công việc, có tinh thần trách nhiệm và tính kỷ luật cao
Có thể đọc - hiểu & làm báo cáo bằng Tiếng anh
ĐỊA ĐIỂM & THỜI GIAN LÀM VIỆC:
Địa điểm: Lô II - 11, KCN Hố Nai, Xã Hố Nai 3, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam
Thời gian làm việc: 7:30 - 16:30 (Thứ 2 - Thứ 7), nghỉ 2 ngày thứ 7 trong tháng
PHÚC LỢI
Đóng BHXH trên tổng tiền lương
Bảo hiểm tai nạn 24/24 cho nhân viên
Nghỉ phép, nghỉ lễ và ngày thành lập công ty theo quy định
Cung cấp bữa sáng và bữa trưa tại các nhà máy
Tặng quà sinh nhật và quà các ngày lễ trong năm
Du lịch hàng năm
Đào tạo nội bộ và bên ngoài
Thưởng tháng 13 + thưởng năng suất theo hiệu quả kinh doanh
Chương trình thâm niên
Phụ cấp ngoại ngữ
Nghỉ hưởng lương ngày thành lập công ty
Hỗ trợ xe đưa đón và xe công tác ngoài thị trường
Hỗ trợ điện thoại, laptop, xe ô tô ( theo quy định của công ty)
Liên hệ
Ứng viên quan tâm vui lòng gửi CV/ Resume theo địa chỉ mail:
Sunjinsouth@sj.co.kr
Mọi thắc mắc cần được giải đáp xin vui lòng gọi
Mr. Duc: 0337.416.150
Ms. Mai: 0396.764.259
Ms. Vũ: 0935.056.658",,linkedin
Trưởng phòng IT,Công Ty TNHH DV Và TM Mesa,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,,"['SQL', 'MySQL', 'API']",Full-time,Not Applicable,2026-04-22,,"Mô tả công việc
 Tham gia phát triển dự án web quy mô lớn để đáp ứng nhu cầu mở rộng thị trường.
 Phân tích các yêu cầu và thực hiện các nguyên tắc thiết kế web có trách nhiệm để đảm bảo rằng trang web của chúng tôi hiển thị tốt trên nhiều thiết bị và trình duyệt.
 Viết và tối ưu hóa mã code mặt trước, mặt sau tạo ứng dụng chạy nhanh tuyệt vời với UI / UX.
 Đưa ra quyết định kỹ thuật mặt trước mặt sau và các thành viên trong đội. Nghiên cứu xu hướng công nghệ mới và thích ứng với các dự án của công ty.
 Phối hợp với các thành viên trong nhóm sản phẩm khác để hoàn thành các dự án đúng thời gian với hiệu suất và chất lượng tốt nhất.
 Lập trình và phát triển website booking engine - đặt vé máy bay trực tuyến, đặt khách sạn.
 Tham gia phát triển các chức năng và tích hợp (API, WebServices).
 Tối ưu hóa hệ thống website theo tiêu chuẩn SEO.
 Phát triển / quản lý / bảo trì Oracle, MySQL, SQL server.
 Hỗ trợ bộ phận liên quan quản trị hệ thống máy tính, quản trị mạng, sao lưu dữ liệu, email công ty.
Đại học",,linkedin
