job_title,company_name,company_size,location,salary_min,salary_max,salary_currency,experience_required,skills,job_type,job_level,posted_date,deadline,job_description,benefits,source
[HCM] IT SUPPORT,CMC Technology & Solution (CMC TS),,"Tân Thuan Đông, Ho Chi Minh City, Vietnam",,,,1.0,"['Windows Server', 'Active Directory']",Full-time,Not Applicable,2026-05-29,,"Job Description
Provide troubleshooting and technical support for end-user devices and related hardware.
Administer and maintain the company’s Mail Server, Windows Server, and File Server systems.
Support the configuration, operation, and maintenance of the Domain Controller.
Diagnose and resolve issues related to Microsoft Office 365 applications.
Participate in on-site support and training sessions at client locations when required.
Location: Cu Chi, HCMC
Job Requirements
College or Bachelor’s degree in Information Technology or a related field.
Minimum 1 years of experience in a similar position.
Hands-on experience with Active Directory, Office 365, and ticketing systems.
CCNA, MCSA, or equivalent certifications are an advantage.
Solid foundation and working experience in IT Systems.
Good communication skills in English.
Compensation & Benefits
Competitive salary package with IT allowance.
Annual cash benefit package of VND 9,000,000 for holidays and special occasions.
12 days of annual leave plus 1 additional paid leave day for your birthday.
Full statutory insurance coverage in accordance with Vietnamese labor law.
Premium healthcare insurance package (CMC Care).
Opportunities to join company clubs and various employee engagement programs.
Laptop and necessary technical equipment provided.
Young, dynamic, and professional working environment.
Nộp đơn ứng tuyển công việc này
Họ & tên bạn *
Địa chỉ email *
Số điện thoại *
Thông tin thêm
CV của bạn *
Click để chọn & tải lên CV của bạn
Mã bảo mật *
Nộp đơn ứng tuyển","Competitive salary package with IT allowance.
Annual cash benefit package of VND 9,000,000 for holidays and special occasions.
12 days of annual leave plus 1 additional paid leave day for your birthday.
Full statutory insurance coverage in accordance with Vietnamese labor law.
Premium healthcare insurance package (CMC Care).
Opportunities to join company clubs and various employee engagement programs.
Laptop and necessary technical equipment provided.
Young, dynamic, and professional working environment.
Nộp đơn ứng tuyển công việc này
Họ & tên bạn *
Địa chỉ email *
Số điện thoại *
Thông tin thêm
CV của bạn *
Click để chọn & tải lên CV của bạn
Mã bảo mật *
Nộp đơn ứng tuyển",linkedin
Junior IT System System Operator,VTI,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,1.0,"['AWS', 'Linux', 'VMware', 'Security']",Full-time,Not Applicable,2026-06-01,,"Job Description
Administrater the company's intranet and Internet
Maintain computer equipment, printers, UPS and network devices
Install, configure and administer Windows, Linux, LAN / Wifi, WAN server systems connecting branch offices
Install office application software and anti-virus/spam/malware tools
Set up, operate and manage information system according to the process
Monitor the network system, prevent attacks, ensure safety and security of information
Report on operations, administration, maintenance, troubleshooting and support requirements
Exchange technical information and solutions with the supplier's technical experts.
Requirements
University degree in IT or equivalent disciplines;
Have more than 1 years of experience in server systems and storage devices such as Storage, Backup;
Experienced in troubleshooting server systems and storage systems;
Have experience and knowledge in website administration, reverse proxy;
Experienced in script writing;
Experienced in installing, configuring and deploying IT equipment of many different technology firms in the world such as: Symantec, Bidefender, IBM, HP, Dell, AMP, Microsoft, AWS, VMware...
Benefits
Minimum 13 months salary per year - not including other bonuses such as KPI bonus for work efficiency, project bonus and revenue bonus. We do performance review twice a year. You will work in a professional, dynamic and friendly environment.
VTI offer annual health check-ups and fully pay social insurance, health insurance and unemployment insurance premium following the Labor law.
We offer one vacation/company trip and 4 teambuilding trips per year for every employees, along with various entertainment activities including: Swimming Clubs, Yoga, Zumba, Kendo and music order via internal Radio channel.
Two MVPs will be rewarded with a free trip to Japan, Taiwan, Singapore, or else.
We offer variety promotion opportunities and chance to raising income for people with capacity, enthusiasm, and long-term commitment.
We offer free Japanese class at the company.
We provide training opportunities to help our people to improve their skills. We support our members to learn and get Cloud, AWS, PMF, PMP certification.
Working hour from: 08:30am to 05:30pm. From Monday to Friday.
Expired at Jun 02, 2026
Job Details
Quantity
1
Locations:
Hồ Chí Minh
Experience Required
2 years
Level
Junior
Job Type
Full time
Skills
IT System","Minimum 13 months salary per year - not including other bonuses such as KPI bonus for work efficiency, project bonus and revenue bonus. We do performance review twice a year. You will work in a professional, dynamic and friendly environment.
VTI offer annual health check-ups and fully pay social insurance, health insurance and unemployment insurance premium following the Labor law.
We offer one vacation/company trip and 4 teambuilding trips per year for every employees, along with various entertainment activities including: Swimming Clubs, Yoga, Zumba, Kendo and music order via internal Radio channel.
Two MVPs will be rewarded with a free trip to Japan, Taiwan, Singapore, or else.
We offer variety promotion opportunities and chance to raising income for people with capacity, enthusiasm, and long-term commitment.
We offer free Japanese class at the company.
We provide training opportunities to help our people to improve their skills. We support our members to learn and get Cloud, AWS, P...",linkedin
[HCM] IT HELPDESK (LONG AN),CMC Technology & Solution (CMC TS),,"Xã Các Sơn, Thanh Hoa, Vietnam",,,,,['Networking'],Full-time,Not Applicable,2026-05-27,,"[HCM] IT HELPDESK (Long An)
MÔ TẢ CÔNG VIỆC
Theo dõi và xử lý các ticket IT cũng như yêu cầu hỗ trợ kỹ thuật hằng ngày.
Hỗ trợ kỹ thuật cho người dùng cuối thông qua Microsoft Teams, Zalo, Email hoặc hỗ trợ trực tiếp tại chỗ.
Cập nhật và ghi nhận đầy đủ thông tin ticket sau khi hoàn tất xử lý.
Cài đặt, hỗ trợ và xử lý sự cố cho các ứng dụng nội bộ, Microsoft Office và các phần mềm liên quan.
Kiểm tra, chẩn đoán và khắc phục sự cố phần cứng/phần mềm đối với laptop, desktop, máy in, hệ thống WiFi và các thiết bị CNTT khác.
Kiểm tra và hỗ trợ thiết bị phòng họp khi phát sinh sự cố.
Hỗ trợ thiết lập và đảm bảo kết nối cho các cuộc họp nội bộ, họp toàn quốc và họp tại nhà máy.
Quản lý và hỗ trợ các thiết bị CNTT tại các văn phòng được phân công.
Phối hợp với các bộ phận liên quan nhằm đảm bảo hệ thống CNTT vận hành ổn định.
Hỗ trợ giao tiếp tiếng Anh cơ bản với người dùng nước ngoài khi cần thiết.
YÊU CẦU CÔNG VIỆC
Ưu tiên ứng viên có kinh nghiệm ở vị trí IT Helpdesk / IT Support.
Có kiến thức cơ bản về Windows OS, Microsoft 365, Networking, WiFi và máy in.
Có khả năng xử lý và khắc phục sự cố phần cứng, phần mềm máy tính.
Kỹ năng giao tiếp tốt, tư duy hỗ trợ khách hàng (customer-oriented mindset).
Chủ động, có trách nhiệm và tinh thần học hỏi.
Có khả năng giao tiếp tiếng Anh cơ bản là một lợi thế.
THU NHẬP
Mức lương cạnh tranh + phụ cấp dự án (gồm phụ cấp ca làm việc và chế độ nghỉ bù)
Tổng thu nhập lên tới 13 tháng lương/năm
Gói phúc lợi tiền mặt 9 triệu/năm vào các dịp Lễ, Tết, Sinh nhật Tập đoàn...
Xét tăng lương theo năng lực và kết quả công việc định kỳ 1 lần/năm.
CHẾ ĐỘ ĐÃI NGỘ
Đóng BHXH đầy đủ và BH sức khỏe CMC Care ngay khi ký Hợp đồng chính thức
Nghỉ phép: 12 ngày/ năm + 1 ngày nghỉ hưởng lương vào dịp sinh nhật bản thân
Được tham gia các chương trình đào tạo chuyên môn, nghiệp vụ từ cơ bản đến nâng cao.
Được trang bị laptop/thiết bị công nghệ trong quá trình làm việc
Môi trường trẻ, năng động và chuyên nghiệp
Tham gia Team building và các hoạt động văn hóa đa dạng
Được vinh danh các giải thưởng năm của Tập đoàn CMC, CMC TS và khen thưởng trên các thành tích xuất sắc (dự án, kinh doanh, quản trị)
Nộp đơn ứng tuyển công việc này
Họ & tên bạn *
Địa chỉ email *
Số điện thoại *
Thông tin thêm
CV của bạn *
Click để chọn & tải lên CV của bạn
Mã bảo mật *
Nộp đơn ứng tuyển",,linkedin
"Ho Chi Minh Cabin Crew Opportunities (Dubai Based, Relocation Provided)",Emirates,,Ho Chi Minh City Metropolitan Area,,,,,"['Excel', 'Security']",Full-time,Associate,2026-05-19,,"Job Purpose
A personality that shines, the ability to adapt to any situation and make people feel at ease. These are a few of the qualities we’re looking for in our cabin crew.
As the face of Emirates, you’ll be the person customers turn to for help and direction when they fly with us, so you need to be friendly, observant and able to provide the right support.
Being a member of the cabin crew is so much more than a service role - safety is our highest priority. You’ll need to lead confidently and take control when it comes to managing aircraft services, security, and safety procedures. This comes from the world-class learning experience our crew receive at our state-of-the-art facility in Dubai.
Qualifications & Experience
Here are some other things we look for in our cabin crew:
You’ve had more than a year’s experience in hospitality/customer service
You have a positive attitude and the natural ability to provide excellent service in a team environment, dealing with people from many cultures
Your minimum qualification is high school graduate (Grade 12)
You need to be fluent in written and spoken English
You’re at least 160cm tall and can reach 212 cm while standing on tiptoes, to enable you to reach emergency equipment on all aircraft types
No visible tattoos while you’re in Emirates cabin crew uniform (without covering them with bandages or cosmetics)
As Emirates cabin crew, you’ll be based in Dubai and will need to meet the UAE's employment visa requirements
Aside from the requirements of the role, you should be determined to always perform to the highest standards, focus on being solution oriented, and be able to manage a demanding work schedule. You should have the ability to deliver an authentic experience to our customers. You’ll be culturally aware and reflect the Emirates personality - professional, empathetic, progressive, visionary and cosmopolitan.
Before clicking the Apply button, please keep the following
documents
ready to submit with your application:
Recent CV in English
Recent photo
Salary & Benefits
Your pay is made up of three components:
a fixed basic salary,
an hourly pay for operated flights and
an overseas meal allowance.
Basic salary = AED 4,980 / month,
Flying Pay = AED 69.60 / hour based on avg. 80-100 hours / month,
Average Total Pay = AED 11,244 / month (~USD 3,100, EUR 2,600 or GBP 2,280)
* These are approximate numbers for Grade II (Economy Class).
Meal allowances for night stops are credited to the salary in arrears the following month.
Hotel accommodation as well as transport to and from the airport is provided by the company.
Join Emirates as cabin crew and enjoy a competitive, tax-free salary, flying pay, profit share, and concessional travel. Benefit from comprehensive relocation support to help you settle in Dubai, along with free accommodation and transportation. You will also receive excellent medical, life, and dental insurance, and more. Additionally, your friends and family can enjoy deeply discounted flights, creating lasting memories together.","Your pay is made up of three components:
a fixed basic salary,
an hourly pay for operated flights and
an overseas meal allowance.
Basic salary = AED 4,980 / month,
Flying Pay = AED 69.60 / hour based on avg. 80-100 hours / month,
Average Total Pay = AED 11,244 / month (~USD 3,100, EUR 2,600 or GBP 2,280)
* These are approximate numbers for Grade II (Economy Class).
Meal allowances for night stops are credited to the salary in arrears the following month.
Hotel accommodation as well as transport to and from the airport is provided by the company.
Join Emirates as cabin crew and enjoy a competitive, tax-free salary, flying pay, profit share, and concessional travel. Benefit from comprehensive relocation support to help you settle in Dubai, along with free accommodation and transportation. You will also receive excellent medical, life, and dental insurance, and more. Additionally, your friends and family can enjoy deeply discounted flights, creating lasting memories together.",linkedin
IT Application Executive,Duy Anh Fashion And Cosmetic (DAFC),,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,,"['SQL', 'Power BI']",Full-time,Not Applicable,2026-05-29,,"MÔ TẢ CÔNG VIỆC
Vai Trò
Vận hành, triển khai, hỗ trợ và cải tiến hệ thống phần mềm của công ty nhằm đảm bảo hoạt động kinh doanh diễn ra liên tục, chính xác và hiệu quả.
Hỗ trợ người dùng (User) trong các nghiệp vụ nghiệp vụ: POS bán lẻ, hóa đơn điện tử, mua hàng, tồn kho,…
Tiếp nhận và xử lý ticket liên quan đến lỗi hệ thống phần mềm hoặc yêu cầu thay đổi nghiệp vụ.
Thực hiện cấu hình module POS/LS Retail theo yêu cầu được phê duyệt.
Thực hiện cài đặt giá bán lẻ, chương trình khuyến mãi cho hệ thống bán hàng
Phối hợp với bộ phận lập trình thực hiện các yêu cầu phát triển report hoặc tính năng mới
Phối hợp với vendor trong việc kiểm tra, sửa lỗi, cập nhật phiên bản hoặc phát triển tính năng mới.
Tham gia các dự án liên quan đến POS/ERP/ứng dụng nội bộ.
Viết tài liệu hướng dẫn người dùng (User Manual)
Đào tạo người dùng mới và đào tạo định kỳ.
Kiểm tra tính hợp lệ của dữ liệu master data.
Thực hiện các công việc khác theo yêu cầu công ty và Line Manager
Các công việc khác được giao bởi Line Manager và theo yêu cầu công ty
YÊU CẦU CÔNG VIỆC
Bằng cấp:
Tốt nghiệp Cao đẳng/ Đại học chuyên ngành Công nghệ thông tin.
Kinh nghiệm:
Ít nhất 1 năm kinh nghiệm vận hành hoặc triển khai hệ thống POS cho chuỗi bán lẻ.
Cẩn trọng và hiểu biết về nghiệp vụ bán hàng, ưu tiên có kinh nghiệm tại chuỗi bán lẻ thời trang.
Kỹ năng/ năng lực:
Hiểu rõ các nghiệp vụ vận hành trong chuỗi bán lẻ.
Sử dụng thành thạo các phần mềm: LS Retail, Sql Server
Biết sử dụng: Power BI, Oracle là một lợi thế.
Giao tiếp tốt, chủ động trong công việc.
QUYỀN LỢI
Chế độ đãi ngộ hấp dẫn: Mức lương cạnh tranh cùng lương 13 lương cố định.
Bảo hiểm sức khỏe
Phát triển sự nghiệp bền vững: Được đào tạo, đánh giá thường niên và có cơ hội luân chuyển nội bộ để mở rộng kỹ năng.
Ưu đãi dành riêng cho nhân viên: Giảm giá 20–50% sản phẩm DAFC và tham gia các sự kiện mua sắm nội bộ đặc biệt với nhiều ưu đãi độc quyền.
Môi trường làm việc chuyên nghiệp & sáng tạo: Không gian làm việc năng động, nơi bạn được khám phá và trải nghiệm thế giới thời trang xa xỉ.
Văn hóa gắn kết & tràn đầy năng lượng: Tham gia Happy Hours, Team building, tiệc cuối năm cùng nhiều hoạt động thú vị khác.
Trải nghiệm ngành hàng xa xỉ đẳng cấp: Cơ hội hiếm có để đồng hành cùng các thương hiệu quốc tế hàng đầu trong lĩnh vực thời trang cao cấp tại Việt Nam.",,linkedin
Junior Quality Assurance,Getz Group,,Vietnam,,,,,"['REST', 'iOS']",Full-time,Not Applicable,2026-03-04,,"JUNIOR QUALITY ASSURANCE
Key Responsibilities
Be responsible for the testing process of all projects.
Analyze the customer requirements, conditions, detailed software functions and design to indicate the requirements for the test plan.
Ensure compliance with established processes.
Design and develop test scenarios and test cases.
Review project documentation as a basis for testing documentation and product understanding.
Review testing documentation, implementation process and testing coverage.
Constantly strive to improve testing methodologies, models and processes.
Log all the bugs and make test reports.
Analyze the changes of request and update the test material (test plan, test cases, etc.).
Requirements
Bachelor or Master Degree in IT, or equivalent experience is required. Any other demonstrated high technology aptitude is desired.
At least 1+ years of software platform development test experience, experience in iOS/Web Application test is a big plus.
Intermediate English communication skills, both written and verbal.
Analytical abilities to grasp the key points from complicated details.
Understanding of software quality assurance methodologies.
Familiarity with the tools, concepts and methodologies of quality management.
Multi-task effectively and able to adhere to schedules.
Good at analytical skills and recognizing problems.
Be responsible.
OUTSTANDING BENEFIT PROGRAMS
Highly Competitive salary
SHUI pay based on full salary
Premium Healthcare Package for Staff and Family Members
Diverse Holidays & Special Events Bonuses & incentives
Family Financial Support - Education for up to 2 kids
Lunch Allowance
Well-stocked pantry with free coffee, tea, and snacks
Internal activities with many experiences: team building, internal events,....
Professional Training and Development Budget
Global Exposure and Traveling Opportunities:
○ Sponsored Trip to Singapore to broaden your horizon and training opportunities
○ Annual company-wide Overseas Rest & Relax Trip
Laptop/Other work support device
WORKING TIME
From
Monday - Friday | 8:00 - 17:30
(1h30 lunch break), flexible to work from home every Friday
WORK LOCATION
8th floor, Vietnam Post Building, 271 Nguyen Van Linh, Thanh Khe Ward, Danang, Vietnam
CONTACT
Application requirement: please send your CV to email
recruit@getz.co
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact,
join us now!
Apply
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact, join us now!
Apply
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact, join us now!
Apply",,linkedin
Front-End Developer,Getz Group,,Vietnam,,,,2.0,"['Java', 'JavaScript', 'Scala', 'React', 'Angular', 'Vue', 'Agile', 'Scrum', 'REST', 'RESTful', 'HTML', 'Excel']",Full-time,Not Applicable,2026-05-29,,"FRONT-END DEVELOPER
Key Responsibilities
Develop new user-facing features with high-quality code
Build reusable components and front-end libraries
Optimize applications for maximum speed and scalability
Translate UI/UX design wireframes into actual code
Collaborate with backend developers and designers to improve usability
Ensure cross-browser compatibility and responsiveness
Conduct code reviews and maintain front-end code quality
Stay up-to-date with emerging front-end technologies and trends
Job Requirements
At least 2+ years working experience as a Front-end Developer.
Have a high level profile capable of modeling entities/systems.
Strong proficiency in HTML5, CSS3, and JavaScript (ES6+).
Hands-on experience with modern frameworks (e.g., React, Vue, Angular).
Experience with RESTful APIs and front-end integration.
Understanding of responsive design and cross-browser compatibility.
Be experienced with Agile Software Development, especially SCRUM.
English communication & reading skills.
Excellent written and oral communications skills.
Teamwork and able to work independently.
OUTSTANDING BENEFIT PROGRAMS
Highly Competitive salary
SHUI pay based on full salary
Premium Healthcare Package for Staff and Family Members
Diverse Holidays & Special Events Bonuses & incentives
Family Financial Support - Education for up to 2 kids
Lunch Allowance
Well-stocked pantry with free coffee, tea, and snacks
Internal activities with many experiences: team building, internal events,....
Professional Training and Development Budget
Global Exposure and Traveling Opportunities:
○ Sponsored Trip to Singapore to broaden your horizon and training opportunities
○ Annual company-wide Overseas Rest & Relax Trip
Laptop/Other work support device
WORKING TIME
From
Monday - Friday | 8:00 - 17:30
(1h30 lunch break), flexible to work from home every Friday
WORK LOCATION
8th floor, Vietnam Post Building, 271 Nguyen Van Linh, Thanh Khe Ward, Danang, Vietnam
CONTACT
Application requirement: please send your CV to email
recruit@getz.co
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact,
join us now!
Apply
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact, join us now!
Apply
If you are self-leading, eager to learn, dare to fail and willing to take any initiatives and transform it into business impact, join us now!
Apply",,linkedin
infrastructure (it admin),Xspera,,Vietnam,,,,5.0,"['Python', 'Perl', 'Azure', 'SQL', 'Excel', 'ITIL', 'Active Directory', 'Firewall', 'Security']",Full-time,Not Applicable,2025-10-05,,"Job Description
Working for xspera, feels like coming home
xspera, a globally operating management consultancy, seek to increase corporate
performance
through
digital transformation
. Xingate, xspera’s digital enterprise platform developed on Microsoft’s technology and collaboration stacks, deliver powerful intra, inter, and cross-departmental solutions for immediate results at affordable costs.
xspera is seeking passionate
Infrastructure (IT Administrator)
who will maintain, upgrade, and manage our software, hardware, and networks.
Resourcefulness is a necessary skill in this role. You should be able to diagnose and resolve problems quickly. You should also have the patience to communicate with a variety of interdisciplinary teams and users.
Your goal will be to ensure that our technology infrastructure runs smoothly and efficiently.
General
Key responsibilities
SharePoint Installation & Configuration
Manage system security, system patching and upgrades
Install and configure software and hardware
Manage network servers and technology tools
Set up accounts and workstations
Monitor performance and maintain systems according to requirements
Troubleshoot issues and outages
Ensure security through access controls, backups and firewalls
Upgrade systems with new releases and models
Develop expertise to train staff on new technologies
Build an internal wiki with technical documentation, manuals and IT policies
Specific
Monitor and manage Network and Office Equipment.
Support developers and office users to solve ad-hoc technical issues & problem
Design and implement Network Topology On-premise and Azure cloud environment
Design, implement and upgrade System: Active Directory, Office 365, Exchange 2010-2013-2016, Skype for Business 2015, SharePoint 2010-2019, SQL 2012-2019, On- premise, Hybrid, and Azure environment, MS SQL BI, and K2
Design and implement SharePoint system topology On-premise, Hybrid, and Azure Cloud
Propose technical solution, do estimates & detail plan for integration in internal & external environment.
Apply MS Intune, PowerShell and ITIL service management.
Requirements
Q
ualifications
Bachelor/Master Degree in Information Technology, computer science, management information systems, or related field required
English certificate of TOEIC 650+ or equivalent
Ex
perience and skill
5+ year experience SharePoint Installation & Configuration including MinRole Farm
Proven experience with configuration of load-balancing and High Availability Infrastructure
Proven experience as a System Administrator, Network Administrator or similar role
Proven experience and knowledge of system security (e.g. intrusion detection systems) and data backup/recovery
Experience with databases, networks (LAN, WAN) and patch management
Ability to create scripts in Python, Perl or other language
Familiarity with various operating systems and platforms
Resourcefulness and problem-solving aptitude
Experience in working in an international environment
Excellent communication skills
Professional certification (e.g. MCSA Microsoft Certified Systems Administrator, MCSE Server Infrastructure, ITIL V4, etc.) is a plus
W
hy Work at xspera
Above market salary compensation, including 13-month pay
Quarterly and yearly performance bonus compensation
Annual performance reviews
Personal development, training, and creative freedom
Ability to participate in customer projects in EU, US & Asia
Work in a global team with highly skilled and motivated people
Spectacular company trips
About Xspera
As a management consulting company, xspera focus on the business goals of our customers. We deliver solutions which help customers achieve their business goals faster. Our enterprise platform, xingate, adapts quickly to our client’s corporate structures reducing their process costs in many areas by as much as 30% -60% through greater transparency, digitization, and process automation. Join xspera today and be part of the digital world of tomorrow",,linkedin
Nhân viên IT Quảng Trị Mạng,Công Ty CP Thiết Kế - Xây Dựng Kiến Trúc Việt,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,,,[],Full-time,Not Applicable,2026-05-03,,"Mô tả công việc
Mô tả chi tiết công việc
Phụ Trách Toàn Bộ Các Hoạt Động Liên Quan Đến Hệ Thống Mạng, Các Trang Thiết Bị Điện Tử, Nghe Nhìn Trang Bị Tại Công Ty Và Cửa Hàng
Đảm bảo hoạt động của hệ thống mạng LAN, Internet, hệ thống máy chủ được thông suốt, ổn định.
Khắc phục các sự cố máy chủ, máy trạm, máy in … và hỗ trợ kịp thời cho người dùng các vấn đề về IT.
Là đầu mối giải quyết sự cố, trực tiếp bảo trì sửa chữa đơn giản cho các trang thiết bị điện tử, nghe nhìn được trang bị tại công ty và cửa hàng.
Thực hiện các công tác bảo trì bảo dưỡng theo định kỳ
Khảo sát và đề xuất mua tài sản khi có phát sinh
Thừa kế và phát triển thêm các qui chuẩn, qui định về vận hành, cấu hình, bảo trì bảo dưỡng, bảo mật thông tin…
Các công tác khác theo chỉ đạo của cấp trên
Chi tiết trao đổi khi phỏng vấn.
Cao đẳng",,linkedin
A320 Captain,Aviation JobSearch Europa,,Vietnam,10000.0,11000.0,USD,,['Excel'],Contract,Not Applicable,2026-05-12,,"63 hours to Apply
A320 Captain
Flight Crew International Verified
Vietnam
Pilot
Captain
Onsite
Contract
$10,000 - $11,000
23 days ago
We are pleased to invite you to apply to an exclusive NEW
A320 Captain
position with a growing airline in
South East Asia.
Developed by Sun Group – one of Vietnam’s leading tourism operators –
Sun PhuQuoc Airways (SPA
) is Vietnam’s first airline dedicated to the “resort-in-the-sky” travel model. The Airline aims to become a game-changer in Asia offering a “hub-and-spoke” flight network connecting Phu Quoc, the “Pearl Island” with major cities domestically in Vietnam and internationally across Asia, including Japan, South Korea, China, and other high-potential markets in the region ! 🚀 🚀
Strong Basic Salary + Flight Hour Pay + Sector Pay + Per Diem + Housing Allowance
Commuting Roster
Annual Leave Days
Bases
Phu Quoc (PQC)
Hanoi (HAN)
Ho Chi Minh City (SGN)
Please find attached salary & benefits package and below key contract highlights :
Hotel provided during training – breakfast & laundry included!
Expanding route network – including Europe & Middle East
Choice of Rosters –
05 Weeks ON / 01 Week OFF
09 Weeks ON / 02 Weeks OFF
16 days annual leave per calendar year (combinable with roster leave)
Travel Provided - at start, end, during days-off
Excellent Medical Insurance for self and family
Exclusive Resort, Hotel and Sports Benefits for pilot and family
If you meet the below requirements and are ready to embark on an exciting new aviation adventure
APPLY TODAY – please complete attached SHORT application form and email it back to me!
Fast, Easy, & Quick Process
Plans for an expansive route network
across Europe, Oceania, Asia, Middle east
, including:
Europe- CDG, BER, FRA, SVO
Oceania- MEL, SYD
Middle East - DXB, DIA, RUH, IST
South East Asia- BKK, SIN
Central Asia – ALA, NQZ
North Asia – ICN, PUS, HND, KIX, PEK, PVG, CAN, CTU
Minimum Requirements
✈️ 4,500 hours on multi-crew airplanes
✈️ 1,500+ PIC Hours (500+ PIC on A320)
✈️ 1,500 hours on A320
🕒 Last A320 PIC flight within 12 months, preferred
🎫 EASA/FAA/ICAO ATPL with valid IR on applied aircraft type
🗣️ ICAO Level 4 in English
🩺 Class 1 Medical
Thank you and we look forward to hearing from you!",,linkedin
